Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at Road
Luke Evangelista, 1.6666666666666667, 2.125, 2.142857142857143, 'NULL'
Joonas Donskoi, 1.45, 1.5443037974683544, 1.6906779661016949, 1.2857142857142858
Andre Burakovsky, 1.6637323943661972, 2.5714285714285716, 1.712280701754386, 1.7325581395348837
Jordan Eberle, 2.3250539956803458, 2.5, 2.18562874251497, 2.4242424242424243
Justin Schultz, 1.7464788732394365, 1.5589123867069485, 1.6005917159763314, 1.7777777777777777
Martin Jones, 24.76027397260274, 24.732394366197184, 22.6, 23.589041095890412
Jaden Schwartz, 2.303125, 2.2515243902439024, 2.4615384615384617, 2.381679389312977
Philipp Grubauer, 24.366666666666667, 24.05, 14.8, 23.801369863013697
Adam Larsson, 0.9166666666666666, 1.2270916334661355, 1.2346666666666666, 1.2335766423357664
Jamie Oleksiak, 0.9666666666666667, 1.097609561752988, 1.1124497991967872, 1.0555555555555556
Yanni Gourde, 1.8689956331877728, 1.6984478935698448, 1.641025641025641, 1.7
Jaycob Megna, 0.98989898989899, 0.7142857142857143, 1.380952380952381, 1.0
Carson Soucy, 1.6451612903225807, 1.1940928270042195, 1.2295081967213115, 1.1
Oliver Bjorkstrand, 2.75, 2.5286343612334803, 2.44, 2.3
Alex Wennberg, 1.235864297253635, 1.2507936507936508, 1.4705882352941178, 1.1226415094339623
Jared McCann, 1.9375, 2.1239837398373984, 2.234567901234568, 2.040983606557377
Ryan Donato, 1.9840255591054312, 2.457627118644068, 2.1258278145695364, 1.3333333333333333
Daniel Sprong, 1.7142857142857142, 2.0509803921568626, 2.05, 1.7272727272727273
Will Borgen, 1.2941176470588236, 1.0084745762711864, 1.0, 1.180327868852459
Brandon Tanev, 1.4096692111959288, 1.4739583333333333, 1.0555555555555556, 1.6875
Cale Fleury, 0.9672131147540983, 1.0, 'NULL', 1.09375
Morgan Geekie, 1.1317365269461077, 1.036144578313253, 1.1071428571428572, 1.6
Eeli Tolvanen, 1.8579881656804733, 2.0, 1.963855421686747, 1.6153846153846154
Matty Beniers, 1.8289473684210527, 1.7297297297297298, 1.3333333333333333, 1.375
Jesper Froden, 0.9333333333333333, 0.625, 'NULL', 0.875
Cam Atkinson, 3.1376404494382024, 2.9971428571428573, 3.075, 2.8120805369127515
Ryan Ellis, 1.8886925795053005, 2.0, 2.0277777777777777, 1.8703703703703705
Sean Couturier, 2.26027397260274, 2.187239944521498, 2.051282051282051, 2.0955882352941178
Travis Konecny, 2.3347280334728033, 2.3333333333333335, 2.739130434782609, 2.2875
Justin Braun, 1.3005988023952095, 1.3429256594724222, 1.1363636363636365, 1.361963190184049
James van Riemsdyk, 2.6724324324324322, 2.2051282051282053, 2.662420382165605, 2.7804878048780486
Nicolas Deslauriers, 1.0628272251308901, 1.1844660194174756, 1.2, 1.0549828178694158
Kevin Hayes, 1.3793103448275863, 2.135702746365105, 2.176470588235294, 1.9130434782608696
Nick Seeler, 0.910377358490566, 1.125, 0.9905660377358491, 0.6216216216216216
Scott Laughton, 1.643835616438356, 1.5992063492063493, 1.5357142857142858, 1.4090909090909092
Rasmus Ristolainen, 1.9236526946107784, 2.185840707964602, 1.9574468085106382, 1.2272727272727273
Travis Sanheim, 1.5361596009975063, 1.705, 1.3970588235294117, 1.6470588235294117
Brendan Lemieux, 1.1538461538461537, 1.1666666666666667, 1.394736842105263, 1.5714285714285714
Felix Sandstrom, 24.22222222222222, 26.77777777777778, 28.0
Ivan Provorov, 1.25, 2.0522243713733075, 2.2954545454545454, 2.252918287937743
Wade Allison, 1.5166666666666666, 2.0, 1.6896551724137931, 1.5
Kieffer Bellows, 0.3333333333333333, 1.5393258426966292, 1.6744186046511629, 1.2352941176470589
Carter Hart, 27.45945945945946, 25.125, 26.551546391752577, 27.352941176470587
Tanner Laczynski, 0.8, 1.0, 0.9333333333333333
Owen Tippett, 1.3636363636363635, 2.305084745762712, 3.12, 2.103448275862069
Morgan Frost, 1.6573426573426573, 1.7391304347826086, 1.5714285714285714, 1.375
Noah Cates, 0.6666666666666666, 1.2409638554216869, 1.205128205128205, 1.4285714285714286
Joel Farabee, 1.839662447257384, 1.85, 1.8, 1.8448275862068966
Cam York, 0.875, 1.0, 0.7647058823529411, 0.9375
Tyson Foerster, 1.6666666666666667, 2.0, 3.0
Patric Hornqvist, 3.3157894736842106, 2.4814814814814814, 3.130965593784684, 3.209251101321586
