Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition, Average of Conditions
Mike Hoffman, 1.0, 0, 0.0, 1.0, 0.5
Chris Wideman, 1.2816901408450705, 1.7, 1.0392156862745099, 1.2941176470588236, 1.3287558685446008
David Savard, 1.4027210884353742, 1.1944444444444444, 1.5925925925925926, 1.4432432432432432, 1.4082503421789136
Brendan Gallagher, 3.094311377245509, 3.3548387096774195, 3.152542372881356, 3.1137724550898205, 3.1788662287235265
Alex Belzile, 1.3095238095238095, 1.5, 1.4, 1.25, 1.3648809523809522
Joel Edmundson, 1.421276595744681, 1.6875, 1.2650602409638554, 1.4094827586206897, 1.4458298988323064
Joel Armia, 1.884526558891455, 1.5384615384615385, 1.8414634146341464, 2.0, 1.816112877996785
Mike Matheson, 1.997816593886463, 1.6666666666666667, 2.247311827956989, 1.9406779661016949, 1.9631182636529534
Chris Tierney, 1.1962774957698816, 0.75, 1.1818181818181819, 1.238255033557047, 1.0915876777862776
Josh Anderson, 2.4594594594594597, 0, 2.4031007751937983, 2.4939467312348667, 1.8391267414720311
Jonathan Drouin, 1.8661087866108788, 1.8888888888888888, 1.5227272727272727, 1.9330357142857142, 1.8026901656281886
Christian Dvorak, 1.5829383886255923, 1.3076923076923077, 1.7792207792207793, 1.6857142857142857, 1.5888914403132413
Jake Evans, 0.2572944297082228, 0, 0.22772277227722773, 0.29396325459317585, 0.1947451141446566
Sam Montembeault, 26.814432989690722, 31.5, 24.192307692307693, 24.25581395348837, 26.6906386588717
Denis Gurianov, 1.9597069597069596, 2.0, 2.0816326530612246, 2.101449275362319, 2.035697222032626
Rem Pitlick, 0.8888888888888888, 1.5, 1.0, 0.8103448275862069, 1.049808429118774
Michael Pezzetta, 1.0186915887850467, 1.2, 0.88, 1.0185185185185186, 1.0293025268258913
Nick Suzuki, 2.045774647887324, 2.1, 2.282608695652174, 2.119718309859155, 2.1370254133496633
Johnathan Kovacevic, 1.1756756756756757, 1.3333333333333333, 1.2666666666666666, 0.9714285714285714, 1.1867760617760617
Jordan Harris, 1.0684931506849316, 1.3333333333333333, 1.0, 1.1388888888888888, 1.1351788432267884
Jesse Ylonen, 1.1914893617021276, 0.75, 1.125, 1.6666666666666667, 1.1832890070921986
Rafael Harvey-Pinard, 1.7142857142857142, 2.0, 2.1333333333333333, 1.8823529411764706, 1.9324929971988798
Kirby Dach, 1.6666666666666667, 0.875, 1.36, 1.6261682242990654, 1.3819587227414332
Kaiden Guhle, 1.0909090909090908, 0.5, 1.2857142857142858, 1.0526315789473684, 0.9823137388926861
Justin Barron, 1.2564102564102564, 0.75, 1.5, 1.4666666666666666, 1.2432692307692308
Jonathan Bernier, 26.336633663366335, 25.76923076923077, 27.06578947368421, 26.01, 26.295413476570328
Brendan Smith, 1.2131147540983607, 1.25, 1.6666666666666667, 1.1666666666666667, 1.3241120218579236
Tomas Tatar, 2.089032258064516, 2.5925925925925926, 1.9197080291970803, 2.088607594936709, 2.1724851186977245
Erik Haula, 1.7236842105263157, 1.2666666666666666, 1.7416666666666667, 1.7331189710610932, 1.6162841287301857
Ondrej Palat, 1.8776119402985074, 1.5714285714285714, 1.9214285714285715, 1.852852852852853, 1.8058304840021258
Dougie Hamilton, 2.8600269179004036, 3.25, 2.717241379310345, 2.9010695187165774, 2.9320844539818314
Damon Severson, 1.619718309859155, 1.6944444444444444, 1.5083333333333333, 1.6265822784810127, 1.6122695915294865
Miles Wood, 2.1776649746192893, 2.2222222222222223, 1.9523809523809523, 2.106060606060606, 2.1145821888207674
Ryan Graves, 1.6745762711864407, 1.7, 1.4827586206896552, 1.6506849315068493, 1.6270049558457365
Curtis Lazar, 1.1039823008849559, 1.0, 1.146341463414634, 1.2231759656652361, 1.1183749324912065
Vitek Vanecek, 24.1984126984127, 25.1, 25.576923076923077, 24.014705882352942, 24.72251041442218
Jonas Siegenthaler, 0.9637096774193549, 0.625, 1.0588235294117647, 0.8709677419354839, 0.8796252371916509
Mackenzie Blackwood, 27.08783783783784, 26.384615384615383, 27.952380952380953, 25.539473684210527, 26.741076964761177
Timo Meier, 3.2974137931034484, 2.8, 3.1927710843373496, 3.4078947368421053, 3.174519903570726
