Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition
Tanner Laczynski, 0.8387096774193549, 1.0, 1.0, 1.0
Owen Tippett, 2.331460674157303, 1.3636363636363635, 3.269230769230769, 2.159090909090909
Morgan Frost, 1.6458333333333333, 1.5714285714285714, 1.2941176470588236, 1.7142857142857142
Noah Cates, 1.25, 0.6666666666666666, 1.5, 1.225
Joel Farabee, 1.8361344537815125, 1.8, 1.829268292682927, 1.8376068376068375
Cam York, 0.8767123287671232, 1.0, 0.7777777777777778, 0.9393939393939394
Tyson Foerster, 1.5, 2.0, 1.5, 2.0
Patric Hornqvist, 3.130965593784684, 2.4814814814814814, 3.3157894736842106, 3.209251101321586
Givani Smith, 1.0841121495327102, 0, 2.0, 1.0638297872340425
Spencer Knight, 25.45614035087719, 25.0, 25.857142857142858, 27.545454545454547
Eric Staal, 2.9777942264988897, 2.2950819672131146, 3.0708333333333333, 2.998533724340176
Marc Staal, 1.0542778288868446, 0.9032258064516129, 1.0260416666666667, 1.0927272727272728
Radko Gudas, 1.6661676646706587, 1.8333333333333333, 1.6923076923076923, 1.7432835820895523
Sergei Bobrovsky, 26.8414442700157, 26.96153846153846, 27.429752066115704, 26.889880952380953
Nick Cousins, 1.524557956777996, 1.6666666666666667, 1.4947368421052631, 1.6221374045801527
Anthony Duclair, 1.8930817610062893, 1.6666666666666667, 1.725, 1.9469387755102041
Carter Verhaeghe, 2.3, 1.5714285714285714, 2.5526315789473686, 2.5789473684210527
Aleksander Barkov, 2.6338461538461537, 2.55, 2.6216216216216215, 2.8641975308641974
Aaron Ekblad, 2.541734860883797, 2.761904761904762, 2.392156862745098, 2.6807817589576546
Sam Reinhart, 2.276666666666667, 2.0, 2.4285714285714284, 2.3633333333333333
Sam Bennett, 2.110294117647059, 2.7857142857142856, 2.0238095238095237, 2.3605947955390336
Brandon Montour, 2.090909090909091, 1.5263157894736843, 2.1481481481481484, 2.05
Colin White, 0.875784190715182, 1.0, 0.965034965034965, 0.7880299251870324
Ryan Lomberg, 1.4821428571428572, 2.6, 1.35, 1.6265060240963856
Matthew Tkachuk, 2.806451612903226, 2.5454545454545454, 2.835616438356164, 2.869918699186992
Josh Mahura, 1.0272108843537415, 1.4, 1.0454545454545454, 0.9866666666666667
Casey Fitzgerald, 0.8709677419354839, 1.3333333333333333, 0.7, 0.7333333333333333
Eetu Luostarinen, 1.202020202020202, 2.0, 1.1142857142857143, 1.2727272727272727
Anton Lundell, 2.0161290322580645, 2.25, 1.7777777777777777, 1.9393939393939394
Corey Perry, 2.6200803212851405, 0, 2.6491228070175437, 2.8512
Brian Elliott, 23.817843866171003, 0, 23.063157894736843, 23.319391634980988
Alex Killorn, 1.9696969696969697, 0, 1.917808219178082, 2.063131313131313
Ian Cole, 1.080163043478261, 0, 1.0512820512820513, 1.1236263736263736
Pat Maroon, 1.4797768479776847, 0, 1.2366412213740459, 1.4957507082152974
Steven Stamkos, 3.0727272727272728, 0, 2.9725274725274726, 3.2725450901803605
Zach Bogosian, 1.7812097812097811, 0, 2.151898734177215, 1.9146666666666667
Victor Hedman, 2.126819126819127, 0, 2.1256830601092895, 2.1724137931034484
Nikita Kucherov, 2.9683042789223455, 0, 3.2, 3.0476190476190474
Andrei Vasilevskiy, 0.9375, 0, 0.0, 0.5555555555555556
Nicholas Paul, 1.7492063492063492, 0, 1.4727272727272727, 1.8113207547169812
Pierre-Edouard Bellemare, 1.1787365177195686, 0, 1.2710280373831775, 1.2826086956521738
Haydn Fleury, 1.2821576763485478, 0, 1.3409090909090908, 1.3333333333333333
Brayden Point, 2.42798353909465, 0, 2.4022988505747125, 2.417004048582996
Darren Raddysh, 1.0, 0, 1.4, 1.3333333333333333
Erik Cernak, 1.6596491228070176, 0, 1.6346153846153846, 1.85
Anthony Cirelli, 1.6970588235294117, 0, 1.3611111111111112, 1.7873563218390804
Mikhail Sergachev, 1.8018648018648018, 0, 1.8888888888888888, 1.75
Ross Colton, 1.887005649717514, 0, 1.625, 1.8666666666666667
Brandon Hagel, 1.8241206030150754, 0, 1.7027027027027026, 1.9528301886792452
Michael Eyssimont, 2.3617021276595747, 0, 2.4285714285714284, 2.56
Tanner Jeannot, 1.4691358024691359, 0, 1.173913043478261, 1.5529411764705883
Nick Perbix, 1.6379310344827587, 0, 1.5555555555555556, 1.7575757575757576
Anton Forsberg, 26.607692307692307, 34.625, 27.181818181818183, 26.349206349206348
Josh Norris, 2.1954887218045114, 1.7692307692307692, 2.111111111111111, 2.3181818181818183
Claude Giroux, 2.593001841620626, 3.0232558139534884, 2.6502463054187193, 2.692870201096892
Derick Brassard, 1.9174950298210736, 2.5357142857142856, 1.8611111111111112, 2.0252427184466018
Nick Holden, 1.184782608695652, 1.2352941176470589, 1.2233009708737863, 1.2469135802469136
Travis Hamonic, 1.7951653944020356, 2.081081081081081, 1.8364779874213837, 1.8661616161616161
Cam Talbot, 26.794392523364486, 25.444444444444443, 27.9875, 26.401826484018265
Austin Watson, 1.1740976645435244, 0.7777777777777778, 1.056338028169014, 1.1834061135371179
Thomas Chabot, 2.448, 2.380952380952381, 2.216666666666667, 2.7058823529411766
Mathieu Joseph, 1.1756272401433692, 1.0, 0.8333333333333334, 1.15
Julien Gauthier, 1.1360544217687074, 1.6, 1.1666666666666667, 1.0921052631578947
Alex DeBrincat, 2.885321100917431, 3.1, 2.816901408450704, 2.953917050691244
Jakob Chychrun, 2.3805774278215224, 2.5, 2.3380281690140845, 2.289473684210526
