Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition
Viktor Arvidsson, 2.9612403100775193, 2.3684210526315788, 3.1683168316831685, 2.9696969696969697
Vladislav Gavrikov, 1.1704545454545454, 0.5, 1.125, 1.0579710144927537
Matt Roy, 0.8939393939393939, 1.0, 1.6666666666666667, 0.6896551724137931
Carl Grundstrom, 1.4885057471264367, 1.0, 1.4444444444444444, 1.5280898876404494
Trevor Moore, 2.0278884462151394, 3.0, 2.0392156862745097, 1.9481481481481482
Zack MacEwen, 1.106145251396648, 1.4285714285714286, 1.15625, 1.188235294117647
Jaret Anderson-Dolan, 1.10752688172043, 0.5, 1.0, 0.9772727272727273
Mikey Anderson, 1.4678055190538766, 1.7058823529411764, 1.3511450381679388, 1.5275590551181102
Gabriel Vilardi, 1.6241610738255035, 2.5, 1.5675675675675675, 1.8860759493670887
Alex Iafallo, 2.093137254901961, 2.066666666666667, 1.8115942028985508, 2.0738916256157633
Sean Walker, 1.6981981981981982, 1.625, 1.5588235294117647, 1.7692307692307692
Sean Durzi, 1.7222222222222223, 1.6, 1.8421052631578947, 1.8666666666666667
Rasmus Kupari, 0.8135593220338984, 0.2, 1.0, 0.859375
Blake Lizotte, 1.2672064777327936, 1.1428571428571428, 1.15, 1.2125984251968505
Arthur Kaliyev, 2.3359375, 2.25, 2.857142857142857, 2.3692307692307693
Jordan Spence, 1.6206896551724137, 1.0, 1.5, 1.5625
Quinton Byfield, 1.1839080459770115, 0.0, 1.0833333333333333, 1.3076923076923077
Anton Forsberg, 26.607692307692307, 2.5, 27.181818181818183, 26.850746268656717
Josh Norris, 2.1954887218045114, 3.0, 2.111111111111111, 2.074626865671642
Claude Giroux, 2.597976080956762, 2.5714285714285716, 2.676470588235294, 2.49165120593692
Derick Brassard, 1.9155908639523336, 1.75, 1.850828729281768, 1.804480651731161
Nick Holden, 1.184782608695652, 1.380952380952381, 1.2233009708737863, 1.121875
Travis Hamonic, 1.7966963151207116, 1.7894736842105263, 1.84375, 1.7230769230769232
